SRR6342093	GSM2874055
SRR6342094	GSM2874056
SRR6342095	GSM2874057
SRR6342096	GSM2874058
SRR6342097	GSM2874059
SRR6342098	GSM2874060
SRR6342099	GSM2874061
SRR6342100	GSM2874062
SRR6342101	GSM2874063
SRR6342102	GSM2874064
SRR6342103	GSM2874065
SRR6342104	GSM2874066
SRR6342105	GSM2874067
SRR6342106	GSM2874068
SRR6342107	GSM2874069
SRR6342108	GSM2874070
SRR6342109	GSM2874071
SRR6342110	GSM2874072
SRR6342111	GSM2874073
SRR6342112	GSM2874074
SRR6342113	GSM2874075
SRR6342114	GSM2874076
SRR6342115	GSM2874077
SRR6342116	GSM2874078
SRR6342117	GSM2874079
SRR6342119	GSM2874081
SRR6342120	GSM2874082
SRR6342121	GSM2874083
SRR6342122	GSM2874084
SRR6342123	GSM2874085
SRR6342124	GSM2874086
SRR6342125	GSM2874087
SRR6342126	GSM2874088
SRR6342127	GSM2874089
SRR6342128	GSM2874090
